Location,Date,Temperature(C),Rainfall(mm)
L01,2024-01-01,29.8,0
L01,2024-01-02,34.9,0
L01,2024-01-03,32.4,0
L01,2024-01-04,24.5,0
L01,2024-01-05,30.3,10
L01,2024-01-06,16.8,0
L01,2024-01-07,18.1,20
L01,2024-01-08,32.4,0
L01,2024-01-09,29.4,0
L01,2024-01-10,17.8,0
L01,2024-01-11,10.3,5
L01,2024-01-12,19.9,10
L01,2024-01-13,31.9,0
L01,2024-01-14,24.3,0
L01,2024-01-15,17.1,0
L01,2024-01-16,25.3,0
L01,2024-01-17,33.8,0
L01,2024-01-18,32.2,5
L01,2024-01-19,30.1,20
L01,2024-01-20,30.4,0
L01,2024-01-21,34.2,0
L01,2024-01-22,20.6,20
L01,2024-01-23,14.6,0
L01,2024-01-24,20.4,0
L01,2024-01-25,12.5,0
L01,2024-01-26,14.6,0
L01,2024-01-27,14.4,20
L01,2024-01-28,29.5,20
L01,2024-01-29,26.2,0
L01,2024-01-30,13.3,0
L01,2024-01-31,19.5,0
L01,2024-02-01,16.8,0
L01,2024-02-02,29.6,0
L01,2024-02-03,18.7,0
L01,2024-02-04,15.5,0
L01,2024-02-05,17.4,0
L01,2024-02-06,16.9,20
L01,2024-02-07,27.4,20
L01,2024-02-08,11.8,0
L01,2024-02-09,32.1,0
L01,2024-02-10,33.8,0
L01,2024-02-11,15.4,0
L01,2024-02-12,13.1,20
L01,2024-02-13,21.5,0
L01,2024-02-14,15.5,0
L01,2024-02-15,10.1,0
L01,2024-02-16,22.9,0
L01,2024-02-17,34.5,0
L01,2024-02-18,28.0,10
L01,2024-02-19,10.6,5
L01,2024-02-20,13.4,0
L01,2024-02-21,22.6,0
L01,2024-02-22,12.1,0
L01,2024-02-23,16.6,0
L01,2024-02-24,18.2,0
L01,2024-02-25,17.4,5
L01,2024-02-26,23.3,0
L01,2024-02-27,18.5,0
L01,2024-02-28,32.9,0
L01,2024-02-29,18.3,0
L02,2024-01-01,12.4,0
L02,2024-01-02,20.6,5
L02,2024-01-03,17.4,0
L02,2024-01-04,13.1,0
L02,2024-01-05,27.9,0
L02,2024-01-06,31.0,0
L02,2024-01-07,24.6,5
L02,2024-01-08,23.8,0
L02,2024-01-09,15.6,0
L02,2024-01-10,23.7,0
L02,2024-01-11,18.6,0
L02,2024-01-12,13.0,0
L02,2024-01-13,11.9,0
L02,2024-01-14,31.9,0
L02,2024-01-15,22.4,5
L02,2024-01-16,18.4,5
L02,2024-01-17,18.8,0
L02,2024-01-18,27.1,0
L02,2024-01-19,19.8,0
L02,2024-01-20,19.1,0
L02,2024-01-21,22.0,0
L02,2024-01-22,19.6,20
L02,2024-01-23,26.3,0
L02,2024-01-24,27.5,5
L02,2024-01-25,32.2,10
L02,2024-01-26,34.6,5
L02,2024-01-27,16.8,0
L02,2024-01-28,23.0,0
L02,2024-01-29,27.1,5
L02,2024-01-30,29.9,0
L02,2024-01-31,25.6,0
L02,2024-02-01,19.6,0
L02,2024-02-02,21.3,5
L02,2024-02-03,11.4,0
L02,2024-02-04,18.0,0
L02,2024-02-05,30.2,10
L02,2024-02-06,15.6,20
L02,2024-02-07,34.7,0
L02,2024-02-08,22.0,0
L02,2024-02-09,27.0,5
L02,2024-02-10,13.3,0
L02,2024-02-11,29.9,0
L02,2024-02-12,16.1,5
L02,2024-02-13,19.5,5
L02,2024-02-14,18.1,5
L02,2024-02-15,10.7,0
L02,2024-02-16,10.7,0
L02,2024-02-17,13.4,10
L02,2024-02-18,32.2,0
L02,2024-02-19,16.9,0
L02,2024-02-20,10.0,5
L02,2024-02-21,17.9,0
L02,2024-02-22,32.7,10
L02,2024-02-23,10.9,10
L02,2024-02-24,30.2,0
L02,2024-02-25,32.8,0
L02,2024-02-26,23.5,0
L02,2024-02-27,29.1,0
L02,2024-02-28,26.0,0
L02,2024-02-29,30.8,0
L03,2024-01-01,14.5,0
L03,2024-01-02,34.7,0
L03,2024-01-03,34.4,0
L03,2024-01-04,25.3,0
L03,2024-01-05,13.3,0
L03,2024-01-06,31.4,0
L03,2024-01-07,29.3,0
L03,2024-01-08,21.9,0
L03,2024-01-09,21.6,10
L03,2024-01-10,34.9,0
L03,2024-01-11,14.3,0
L03,2024-01-12,21.9,5
L03,2024-01-13,23.6,10
L03,2024-01-14,27.0,0
L03,2024-01-15,15.9,5
L03,2024-01-16,19.3,0
L03,2024-01-17,31.9,0
L03,2024-01-18,28.6,0
L03,2024-01-19,22.8,20
L03,2024-01-20,27.3,5
L03,2024-01-21,23.1,10
L03,2024-01-22,15.8,0
L03,2024-01-23,14.0,10
L03,2024-01-24,27.9,0
L03,2024-01-25,23.7,0
L03,2024-01-26,31.6,5
L03,2024-01-27,13.3,10
L03,2024-01-28,18.4,5
L03,2024-01-29,18.1,0
L03,2024-01-30,11.2,20
L03,2024-01-31,10.5,0
L03,2024-02-01,12.9,0
L03,2024-02-02,24.1,0
L03,2024-02-03,30.0,0
L03,2024-02-04,24.7,0
L03,2024-02-05,21.1,0
L03,2024-02-06,27.9,0
L03,2024-02-07,15.8,0
L03,2024-02-08,11.7,0
L03,2024-02-09,33.5,20
L03,2024-02-10,26.4,0
L03,2024-02-11,11.0,0
L03,2024-02-12,34.7,0
L03,2024-02-13,30.4,0
L03,2024-02-14,32.3,0
L03,2024-02-15,31.6,0
L03,2024-02-16,11.9,0
L03,2024-02-17,23.4,0
L03,2024-02-18,12.7,10
L03,2024-02-19,13.9,0
L03,2024-02-20,24.3,0
L03,2024-02-21,12.3,0
L03,2024-02-22,10.7,0
L03,2024-02-23,33.0,10
L03,2024-02-24,23.1,0
L03,2024-02-25,28.7,0
L03,2024-02-26,31.4,0
L03,2024-02-27,25.9,0
L03,2024-02-28,13.3,0
L03,2024-02-29,34.6,0
L04,2024-01-01,31.6,0
L04,2024-01-02,10.6,20
L04,2024-01-03,17.2,0
L04,2024-01-04,28.6,0
L04,2024-01-05,27.4,0
L04,2024-01-06,17.5,0
L04,2024-01-07,21.9,0
L04,2024-01-08,14.6,0
L04,2024-01-09,13.1,0
L04,2024-01-10,23.5,0
L04,2024-01-11,11.0,0
L04,2024-01-12,19.6,0
L04,2024-01-13,13.0,0
L04,2024-01-14,34.7,0
L04,2024-01-15,21.7,0
L04,2024-01-16,21.4,0
L04,2024-01-17,33.0,0
L04,2024-01-18,18.9,5
L04,2024-01-19,21.7,0
L04,2024-01-20,18.2,0
L04,2024-01-21,14.9,0
L04,2024-01-22,12.8,0
L04,2024-01-23,16.0,10
L04,2024-01-24,29.1,0
L04,2024-01-25,24.5,0
L04,2024-01-26,22.1,5
L04,2024-01-27,27.8,0
L04,2024-01-28,22.8,0
L04,2024-01-29,12.2,0
L04,2024-01-30,19.9,0
L04,2024-01-31,18.3,0
L04,2024-02-01,14.7,0
L04,2024-02-02,12.3,10
L04,2024-02-03,27.7,10
L04,2024-02-04,34.9,20
L04,2024-02-05,13.7,0
L04,2024-02-06,28.7,0
L04,2024-02-07,31.0,5
L04,2024-02-08,14.9,0
L04,2024-02-09,13.5,0
L04,2024-02-10,29.0,20
L04,2024-02-11,34.6,0
L04,2024-02-12,12.8,0
L04,2024-02-13,24.2,0
L04,2024-02-14,15.5,0
L04,2024-02-15,27.3,0
L04,2024-02-16,24.8,0
L04,2024-02-17,24.9,0
L04,2024-02-18,11.0,5
L04,2024-02-19,15.2,0
L04,2024-02-20,23.4,5
L04,2024-02-21,34.3,5
L04,2024-02-22,33.4,0
L04,2024-02-23,10.4,0
L04,2024-02-24,19.0,20
L04,2024-02-25,33.6,10
L04,2024-02-26,29.4,20
L04,2024-02-27,28.6,0
L04,2024-02-28,10.2,0
L04,2024-02-29,16.4,10
L05,2024-01-01,20.9,0
L05,2024-01-02,30.5,0
L05,2024-01-03,22.3,5
L05,2024-01-04,10.9,5
L05,2024-01-05,24.1,20
L05,2024-01-06,13.0,0
L05,2024-01-07,31.6,0
L05,2024-01-08,22.5,20
L05,2024-01-09,13.8,5
L05,2024-01-10,23.1,0
L05,2024-01-11,28.8,10
L05,2024-01-12,27.1,0
L05,2024-01-13,20.5,0
L05,2024-01-14,24.7,5
L05,2024-01-15,17.2,5
L05,2024-01-16,12.9,0
L05,2024-01-17,27.6,0
L05,2024-01-18,19.8,0
L05,2024-01-19,13.0,5
L05,2024-01-20,18.4,5
L05,2024-01-21,23.8,10
L05,2024-01-22,22.0,0
L05,2024-01-23,29.8,20
L05,2024-01-24,32.9,0
L05,2024-01-25,22.6,0
L05,2024-01-26,31.7,0
L05,2024-01-27,22.3,0
L05,2024-01-28,14.2,10
L05,2024-01-29,32.9,10
L05,2024-01-30,32.9,0
L05,2024-01-31,16.9,0
L05,2024-02-01,23.5,20
L05,2024-02-02,11.6,0
L05,2024-02-03,14.5,0
L05,2024-02-04,31.2,5
L05,2024-02-05,34.9,10
L05,2024-02-06,17.0,10
L05,2024-02-07,12.3,0
L05,2024-02-08,15.7,0
L05,2024-02-09,16.4,20
L05,2024-02-10,14.4,0
L05,2024-02-11,29.4,0
L05,2024-02-12,32.7,0
L05,2024-02-13,29.0,0
L05,2024-02-14,33.8,0
L05,2024-02-15,10.8,0
L05,2024-02-16,20.7,0
L05,2024-02-17,29.3,20
L05,2024-02-18,13.7,0
L05,2024-02-19,27.9,0
L05,2024-02-20,29.5,0
L05,2024-02-21,19.6,0
L05,2024-02-22,15.2,0
L05,2024-02-23,32.3,0
L05,2024-02-24,12.7,5
L05,2024-02-25,15.1,0
L05,2024-02-26,34.9,5
L05,2024-02-27,18.9,0
L05,2024-02-28,15.1,0
L05,2024-02-29,20.8,0
L06,2024-01-01,29.2,0
L06,2024-01-02,23.5,0
L06,2024-01-03,23.2,0
L06,2024-01-04,32.1,10
L06,2024-01-05,30.5,10
L06,2024-01-06,13.1,0
L06,2024-01-07,22.0,0
L06,2024-01-08,14.1,0
L06,2024-01-09,19.4,0
L06,2024-01-10,26.6,0
L06,2024-01-11,26.4,0
L06,2024-01-12,11.3,0
L06,2024-01-13,19.1,0
L06,2024-01-14,22.2,20
L06,2024-01-15,14.1,0
L06,2024-01-16,33.9,5
L06,2024-01-17,13.2,10
L06,2024-01-18,25.7,0
L06,2024-01-19,12.0,10
L06,2024-01-20,10.4,0
L06,2024-01-21,28.0,0
L06,2024-01-22,28.6,0
L06,2024-01-23,18.7,0
L06,2024-01-24,22.4,0
L06,2024-01-25,13.5,0
L06,2024-01-26,23.7,0
L06,2024-01-27,31.8,0
L06,2024-01-28,17.8,0
L06,2024-01-29,12.4,10
L06,2024-01-30,23.8,0
L06,2024-01-31,31.3,0
L06,2024-02-01,13.3,0
L06,2024-02-02,24.3,0
L06,2024-02-03,15.8,0
L06,2024-02-04,23.3,10
L06,2024-02-05,24.0,0
L06,2024-02-06,26.0,0
L06,2024-02-07,31.0,10
L06,2024-02-08,23.9,0
L06,2024-02-09,16.6,0
L06,2024-02-10,15.7,0
L06,2024-02-11,27.2,0
L06,2024-02-12,17.8,0
L06,2024-02-13,26.1,0
L06,2024-02-14,14.7,20
L06,2024-02-15,28.5,5
L06,2024-02-16,34.3,0
L06,2024-02-17,18.4,0
L06,2024-02-18,20.4,20
L06,2024-02-19,34.5,0
L06,2024-02-20,20.0,10
L06,2024-02-21,24.5,0
L06,2024-02-22,22.5,0
L06,2024-02-23,28.2,0
L06,2024-02-24,13.1,0
L06,2024-02-25,24.2,0
L06,2024-02-26,17.9,0
L06,2024-02-27,30.4,0
L06,2024-02-28,33.9,0
L06,2024-02-29,26.9,0
L07,2024-01-01,14.2,0
L07,2024-01-02,25.4,5
L07,2024-01-03,12.0,0
L07,2024-01-04,21.0,0
L07,2024-01-05,33.1,0
L07,2024-01-06,16.4,0
L07,2024-01-07,17.0,0
L07,2024-01-08,15.4,20
L07,2024-01-09,12.4,0
L07,2024-01-10,26.1,0
L07,2024-01-11,15.4,0
L07,2024-01-12,26.2,0
L07,2024-01-13,10.5,20
L07,2024-01-14,29.9,0
L07,2024-01-15,17.9,0
L07,2024-01-16,28.8,5
L07,2024-01-17,25.9,0
L07,2024-01-18,32.5,0
L07,2024-01-19,34.7,20
L07,2024-01-20,26.7,0
L07,2024-01-21,15.8,0
L07,2024-01-22,21.4,10
L07,2024-01-23,12.6,5
L07,2024-01-24,31.3,0
L07,2024-01-25,29.6,0
L07,2024-01-26,15.1,0
L07,2024-01-27,26.5,20
L07,2024-01-28,20.1,0
L07,2024-01-29,21.9,0
L07,2024-01-30,26.7,0
L07,2024-01-31,34.4,0
L07,2024-02-01,28.8,0
L07,2024-02-02,23.1,0
L07,2024-02-03,15.3,0
L07,2024-02-04,13.6,0
L07,2024-02-05,29.0,0
L07,2024-02-06,21.1,0
L07,2024-02-07,13.8,0
L07,2024-02-08,32.2,0
L07,2024-02-09,25.6,0
L07,2024-02-10,14.9,20
L07,2024-02-11,13.0,0
L07,2024-02-12,17.3,10
L07,2024-02-13,18.9,0
L07,2024-02-14,28.1,0
L07,2024-02-15,19.6,20
L07,2024-02-16,28.5,0
L07,2024-02-17,28.2,0
L07,2024-02-18,15.2,10
L07,2024-02-19,19.7,0
L07,2024-02-20,33.7,5
L07,2024-02-21,11.3,0
L07,2024-02-22,34.3,0
L07,2024-02-23,31.6,0
L07,2024-02-24,21.2,5
L07,2024-02-25,24.4,0
L07,2024-02-26,12.2,0
L07,2024-02-27,20.2,20
L07,2024-02-28,19.0,0
L07,2024-02-29,12.8,0
L08,2024-01-01,33.2,0
L08,2024-01-02,34.1,0
L08,2024-01-03,10.9,0
L08,2024-01-04,22.0,0
L08,2024-01-05,12.8,0
L08,2024-01-06,26.0,0
L08,2024-01-07,23.9,0
L08,2024-01-08,10.5,0
L08,2024-01-09,27.5,0
L08,2024-01-10,33.4,0
L08,2024-01-11,31.1,0
L08,2024-01-12,34.0,0
L08,2024-01-13,25.3,0
L08,2024-01-14,23.9,0
L08,2024-01-15,29.5,10
L08,2024-01-16,13.0,0
L08,2024-01-17,27.7,0
L08,2024-01-18,28.1,0
L08,2024-01-19,20.4,0
L08,2024-01-20,10.6,0
L08,2024-01-21,27.4,0
L08,2024-01-22,25.6,10
L08,2024-01-23,20.8,0
L08,2024-01-24,13.2,0
L08,2024-01-25,24.4,5
L08,2024-01-26,29.9,20
L08,2024-01-27,31.0,0
L08,2024-01-28,34.0,0
L08,2024-01-29,29.8,10
L08,2024-01-30,28.5,0
L08,2024-01-31,32.9,0
L08,2024-02-01,10.3,0
L08,2024-02-02,18.1,10
L08,2024-02-03,12.3,0
L08,2024-02-04,25.1,0
L08,2024-02-05,31.5,0
L08,2024-02-06,20.0,20
L08,2024-02-07,19.3,0
L08,2024-02-08,12.1,10
L08,2024-02-09,24.1,0
L08,2024-02-10,12.3,0
L08,2024-02-11,15.0,10
L08,2024-02-12,18.9,20
L08,2024-02-13,11.5,10
L08,2024-02-14,12.3,0
L08,2024-02-15,27.5,0
L08,2024-02-16,10.3,0
L08,2024-02-17,25.3,0
L08,2024-02-18,27.9,20
L08,2024-02-19,27.0,0
L08,2024-02-20,32.9,0
L08,2024-02-21,17.3,0
L08,2024-02-22,19.6,0
L08,2024-02-23,23.9,0
L08,2024-02-24,18.9,0
L08,2024-02-25,20.3,0
L08,2024-02-26,14.5,10
L08,2024-02-27,29.9,0
L08,2024-02-28,17.9,0
L08,2024-02-29,18.2,0
L09,2024-01-01,13.0,5
L09,2024-01-02,11.7,10
L09,2024-01-03,33.2,0
L09,2024-01-04,29.8,10
L09,2024-01-05,27.0,0
L09,2024-01-06,33.3,10
L09,2024-01-07,19.7,0
L09,2024-01-08,30.8,0
L09,2024-01-09,28.6,0
L09,2024-01-10,11.5,0
L09,2024-01-11,30.4,0
L09,2024-01-12,31.1,0
L09,2024-01-13,12.2,0
L09,2024-01-14,11.9,0
L09,2024-01-15,12.4,0
L09,2024-01-16,22.8,0
L09,2024-01-17,15.5,0
L09,2024-01-18,21.9,0
L09,2024-01-19,25.8,0
L09,2024-01-20,18.0,0
L09,2024-01-21,29.4,0
L09,2024-01-22,34.3,0
L09,2024-01-23,17.9,20
L09,2024-01-24,32.6,20
L09,2024-01-25,10.9,5
L09,2024-01-26,19.7,20
L09,2024-01-27,26.2,0
L09,2024-01-28,27.0,10
L09,2024-01-29,11.3,0
L09,2024-01-30,33.1,10
L09,2024-01-31,11.7,5
L09,2024-02-01,20.6,20
L09,2024-02-02,27.2,5
L09,2024-02-03,14.9,5
L09,2024-02-04,11.8,0
L09,2024-02-05,21.2,0
L09,2024-02-06,10.1,0
L09,2024-02-07,27.5,20
L09,2024-02-08,32.9,0
L09,2024-02-09,11.6,0
L09,2024-02-10,31.7,5
L09,2024-02-11,18.0,20
L09,2024-02-12,23.2,0
L09,2024-02-13,29.3,0
L09,2024-02-14,23.3,0
L09,2024-02-15,13.3,10
L09,2024-02-16,14.9,0
L09,2024-02-17,16.4,20
L09,2024-02-18,20.7,0
L09,2024-02-19,20.7,0
L09,2024-02-20,22.6,20
L09,2024-02-21,16.6,0
L09,2024-02-22,33.1,0
L09,2024-02-23,19.0,0
L09,2024-02-24,30.4,0
L09,2024-02-25,22.6,5
L09,2024-02-26,21.7,10
L09,2024-02-27,32.1,0
L09,2024-02-28,13.1,10
L09,2024-02-29,18.5,0
L10,2024-01-01,32.2,5
L10,2024-01-02,30.7,10
L10,2024-01-03,15.9,0
L10,2024-01-04,29.8,0
L10,2024-01-05,16.0,0
L10,2024-01-06,20.9,0
L10,2024-01-07,28.4,0
L10,2024-01-08,27.1,0
L10,2024-01-09,14.4,0
L10,2024-01-10,28.6,5
L10,2024-01-11,22.2,0
L10,2024-01-12,33.1,10
L10,2024-01-13,22.8,0
L10,2024-01-14,25.2,0
L10,2024-01-15,14.6,0
L10,2024-01-16,32.8,0
L10,2024-01-17,34.8,10
L10,2024-01-18,21.0,20
L10,2024-01-19,25.0,0
L10,2024-01-20,20.5,0
L10,2024-01-21,26.3,0
L10,2024-01-22,10.1,0
L10,2024-01-23,30.3,0
L10,2024-01-24,32.3,0
L10,2024-01-25,32.9,0
L10,2024-01-26,28.6,0
L10,2024-01-27,19.0,5
L10,2024-01-28,24.0,0
L10,2024-01-29,14.6,20
L10,2024-01-30,12.1,10
L10,2024-01-31,17.1,0
L10,2024-02-01,15.3,0
L10,2024-02-02,27.9,10
L10,2024-02-03,17.7,20
L10,2024-02-04,31.1,20
L10,2024-02-05,29.4,0
L10,2024-02-06,32.8,5
L10,2024-02-07,11.2,0
L10,2024-02-08,24.2,0
L10,2024-02-09,12.2,0
L10,2024-02-10,19.8,0
L10,2024-02-11,10.4,0
L10,2024-02-12,20.2,5
L10,2024-02-13,32.8,0
L10,2024-02-14,23.9,0
L10,2024-02-15,12.3,0
L10,2024-02-16,11.3,20
L10,2024-02-17,26.3,10
L10,2024-02-18,26.3,10
L10,2024-02-19,20.0,10
L10,2024-02-20,29.5,0
L10,2024-02-21,26.6,0
L10,2024-02-22,15.8,0
L10,2024-02-23,24.2,0
L10,2024-02-24,34.9,0
L10,2024-02-25,30.7,10
L10,2024-02-26,34.2,20
L10,2024-02-27,28.4,0
L10,2024-02-28,24.9,0
L10,2024-02-29,30.7,0
